번호,대리점,이름,연락처,생년월일,주소,면허종류,흡연유무,탁송보험,사고점수,평점,고객리뷰,신뢰도,등급,비고
26_217,경기덕양대리점,장성우,010-4011-7334,761128,경기덕양 중앙9길 13,2종 보통,무,DB손해,10,97,92,99,A,
26_218,경기덕양대리점,정하윤,010-8426-7903,611091,경기덕양 중앙9길 13,1종 보통,무,KB손해,4,99,94,91,A,
26_219,경기덕양대리점,송지아,010-8089-4974,571139,경기덕양 강남대로 100,2종 보통,무,DB손해,5,97,94,92,A,
26_220,경기덕양대리점,장병국,010-2252-9335,931142,경기덕양 효자동 123-9,1종 보통,무,DB손해,5,91,92,95,B,
26_221,경기덕양대리점,장성우,010-5354-6435,511027,경기덕양 효자동 123-9,1종 보통,무,DB손해,5,92,100,93,A,
26_222,경기덕양대리점,송지아,010-5708-3247,781047,경기덕양 효자동 123-9,2종 보통,무,KB손해,0,92,97,99,C,
26_223,경기덕양대리점,송지아,010-5286-5357,551119,경기덕양 효자동 123-9,1종 대형,무,DB손해,0,97,96,96,A,
26_224,경기덕양대리점,박도현,010-1835-7333,961100,경기덕양 강남대로 100,1종 대형,무,현대해상,0,94,98,96,B,
26_225,경기덕양대리점,강지수,010-7871-8030,711025,경기덕양 중앙9길 13,1종 대형,무,현대해상,6,99,90,100,B,
26_226,경기덕양대리점,송지아,010-8541-6257,891171,경기덕양 강남대로 100,1종 대형,무,DB손해,1,90,100,92,B,
26_227,경기덕양대리점,장성우,010-2716-1968,811195,경기덕양 중앙9길 13,1종 대형,무,DB손해,2,99,97,92,A,
26_228,경기덕양대리점,강지수,010-9561-6592,981161,경기덕양 효자동 123-9,1종 보통,무,KB손해,5,100,91,99,B,
26_229,경기덕양대리점,한서아,010-6975-2860,981207,경기덕양 효자동 123-9,2종 보통,무,DB손해,9,97,92,98,B,
26_230,경기덕양대리점,정하윤,010-1224-4607,891072,경기덕양 강남대로 100,1종 보통,무,현대해상,0,94,91,90,B,
26_231,경기덕양대리점,최이안,010-6096-7716,791215,경기덕양 강남대로 100,1종 대형,무,KB손해,1,91,93,100,A,
26_232,경기덕양대리점,장병국,010-4693-8758,931055,경기덕양 효자동 123-9,1종 보통,무,현대해상,9,94,91,95,A,
26_233,경기덕양대리점,송지아,010-2698-7871,951125,경기덕양 효자동 123-9,2종 보통,무,KB손해,10,99,95,95,C,
26_234,경기덕양대리점,강지수,010-8448-5493,671230,경기덕양 강남대로 100,1종 보통,무,KB손해,10,92,93,98,C,
26_235,경기덕양대리점,강지수,010-3156-4253,551164,경기덕양 중앙9길 13,1종 대형,무,DB손해,6,95,91,99,B,
26_236,경기덕양대리점,한서아,010-4192-4863,861023,경기덕양 효자동 123-9,2종 보통,무,KB손해,0,97,100,91,A,
26_237,경기덕양대리점,이서준,010-6011-5943,771231,경기덕양 중앙9길 13,1종 보통,무,현대해상,4,96,94,97,A,
26_238,경기덕양대리점,장병국,010-7214-5842,531009,경기덕양 강남대로 100,1종 대형,무,KB손해,2,94,98,95,A,
26_239,경기덕양대리점,박도현,010-6868-2437,591033,경기덕양 효자동 123-9,2종 보통,무,DB손해,5,98,95,90,B,
26_240,경기덕양대리점,장병국,010-7564-8024,951149,경기덕양 효자동 123-9,2종 보통,무,현대해상,8,100,100,96,C,
26_241,경기덕양대리점,한서아,010-7791-3811,951124,경기덕양 중앙9길 13,1종 보통,무,KB손해,10,92,90,94,C,
26_242,경기덕양대리점,최이안,010-6147-4706,731124,경기덕양 효자동 123-9,2종 보통,무,DB손해,7,94,99,99,B,
26_243,경기덕양대리점,김민준,010-3900-2166,981203,경기덕양 효자동 123-9,1종 대형,무,KB손해,3,95,91,91,C,
26_244,경기덕양대리점,장병국,010-5839-3538,541039,경기덕양 강남대로 100,2종 보통,무,KB손해,0,99,94,98,C,
26_245,경기덕양대리점,최이안,010-5263-9995,911188,경기덕양 효자동 123-9,1종 보통,무,DB손해,2,99,99,96,A,
26_246,경기덕양대리점,김민준,010-6983-6695,841172,경기덕양 효자동 123-9,2종 보통,무,현대해상,0,95,96,90,C,
26_247,경기덕양대리점,박도현,010-4020-1626,811039,경기덕양 강남대로 100,1종 대형,무,KB손해,2,91,93,96,B,
26_248,경기덕양대리점,이서준,010-1783-1872,571055,경기덕양 중앙9길 13,2종 보통,무,KB손해,3,91,95,98,B,
26_249,경기덕양대리점,김민준,010-3667-1731,801148,경기덕양 강남대로 100,2종 보통,무,현대해상,8,90,99,100,B,
26_250,경기덕양대리점,장병국,010-8024-8563,501205,경기덕양 효자동 123-9,1종 보통,무,현대해상,5,97,99,96,A,
26_251,경기덕양대리점,강지수,010-5645-5277,831112,경기덕양 강남대로 100,2종 보통,무,KB손해,8,97,100,93,A,
26_252,경기덕양대리점,이서준,010-6867-3432,561128,경기덕양 강남대로 100,2종 보통,무,KB손해,4,95,96,92,B,
26_253,경기덕양대리점,박도현,010-8336-6538,921019,경기덕양 효자동 123-9,2종 보통,무,KB손해,1,99,90,98,B,
26_254,경기덕양대리점,강지수,010-1965-9813,861141,경기덕양 강남대로 100,1종 보통,무,현대해상,7,99,94,95,B,
26_255,경기덕양대리점,정하윤,010-4982-7484,941111,경기덕양 중앙9길 13,1종 대형,무,KB손해,0,98,91,91,A,
26_256,경기덕양대리점,최이안,010-6836-9644,651026,경기덕양 중앙9길 13,1종 보통,무,KB손해,1,94,94,100,B,
26_257,경기덕양대리점,장병국,010-6663-5831,691073,경기덕양 중앙9길 13,1종 보통,무,현대해상,4,100,91,93,B,
26_258,경기덕양대리점,이서준,010-3927-7541,641151,경기덕양 효자동 123-9,1종 대형,무,KB손해,3,90,95,97,B,
26_259,경기덕양대리점,장병국,010-7477-7906,701141,경기덕양 효자동 123-9,1종 보통,무,현대해상,2,90,91,92,C,
26_260,경기덕양대리점,송지아,010-6885-5881,501112,경기덕양 중앙9길 13,1종 보통,무,DB손해,2,92,90,99,A,
26_261,경기덕양대리점,장성우,010-8175-7724,941114,경기덕양 효자동 123-9,1종 보통,무,DB손해,9,99,94,98,B,
26_262,경기덕양대리점,송지아,010-8546-7008,641084,경기덕양 효자동 123-9,1종 보통,무,DB손해,1,94,98,99,C,
26_263,경기덕양대리점,최이안,010-7131-6541,951021,경기덕양 효자동 123-9,1종 대형,무,DB손해,0,94,99,97,B,
26_264,경기덕양대리점,김민준,010-9782-3297,571199,경기덕양 중앙9길 13,1종 보통,무,KB손해,8,99,100,91,A,
26_265,경기덕양대리점,송지아,010-6435-4915,681050,경기덕양 효자동 123-9,2종 보통,무,DB손해,6,97,96,90,B,
26_266,경기덕양대리점,최이안,010-7847-9928,651054,경기덕양 효자동 123-9,1종 대형,무,현대해상,3,95,94,100,B,
26_267,경기덕양대리점,강지수,010-7529-4544,911036,경기덕양 강남대로 100,1종 대형,무,현대해상,7,100,100,94,A,
26_268,경기덕양대리점,한서아,010-5495-2975,891052,경기덕양 효자동 123-9,2종 보통,무,현대해상,7,92,91,93,B,
26_269,경기덕양대리점,정하윤,010-2780-9050,891052,경기덕양 중앙9길 13,1종 대형,무,KB손해,3,98,95,96,A,
26_270,경기덕양대리점,장성우,010-6611-5575,731113,경기덕양 효자동 123-9,1종 대형,무,DB손해,8,95,99,98,C,
26_271,경기덕양대리점,김민준,010-5140-6726,891048,경기덕양 효자동 123-9,1종 대형,무,KB손해,4,96,95,94,B,
26_272,경기덕양대리점,박도현,010-7585-1011,821166,경기덕양 강남대로 100,1종 대형,무,DB손해,9,90,94,90,B,
26_273,경기덕양대리점,강지수,010-1931-7667,791145,경기덕양 효자동 123-9,1종 보통,무,DB손해,3,100,91,99,C,
26_274,경기덕양대리점,장성우,010-3459-7592,801046,경기덕양 중앙9길 13,1종 대형,무,DB손해,7,92,97,90,C,
26_275,경기덕양대리점,이서준,010-1589-3252,681183,경기덕양 효자동 123-9,1종 대형,무,KB손해,0,100,92,93,A,
26_276,경기덕양대리점,정하윤,010-7491-2604,581083,경기덕양 강남대로 100,2종 보통,무,KB손해,6,90,94,99,A,
26_277,경기덕양대리점,한서아,010-4504-7137,601160,경기덕양 효자동 123-9,2종 보통,무,DB손해,6,99,92,91,B,
26_278,경기덕양대리점,장성우,010-8955-2465,671066,경기덕양 강남대로 100,1종 대형,무,현대해상,6,98,90,93,A,
26_279,경기덕양대리점,송지아,010-6015-4945,511229,경기덕양 효자동 123-9,1종 보통,무,KB손해,8,97,93,94,A,
26_280,경기덕양대리점,이서준,010-5527-9394,561013,경기덕양 중앙9길 13,2종 보통,무,DB손해,3,91,95,99,C,
26_281,경기덕양대리점,장병국,010-2679-8413,571099,경기덕양 효자동 123-9,1종 대형,무,현대해상,6,97,93,96,C,
26_282,경기덕양대리점,장성우,010-7955-1775,931016,경기덕양 중앙9길 13,2종 보통,무,현대해상,2,98,94,100,A,
26_283,경기덕양대리점,최이안,010-7087-3171,541016,경기덕양 강남대로 100,1종 대형,무,현대해상,10,91,97,90,C,
26_284,경기덕양대리점,한서아,010-1817-4505,671160,경기덕양 강남대로 100,2종 보통,무,현대해상,9,99,96,97,C,
26_285,경기덕양대리점,송지아,010-4130-5164,871143,경기덕양 강남대로 100,1종 대형,무,현대해상,9,92,95,96,B,
26_286,경기덕양대리점,김민준,010-9429-2386,961231,경기덕양 중앙9길 13,1종 대형,무,DB손해,8,92,98,98,A,
26_287,경기덕양대리점,강지수,010-3519-8749,691204,경기덕양 강남대로 100,1종 대형,무,KB손해,5,99,97,98,B,
26_288,경기덕양대리점,최이안,010-5697-3175,841218,경기덕양 강남대로 100,1종 대형,무,현대해상,4,97,91,99,C,
26_289,경기덕양대리점,장성우,010-4340-8544,691067,경기덕양 효자동 123-9,1종 대형,무,현대해상,0,95,94,91,C,
26_290,경기덕양대리점,장성우,010-8080-7965,801085,경기덕양 중앙9길 13,1종 보통,무,KB손해,1,99,100,91,C,
26_291,경기덕양대리점,최이안,010-9237-4221,541155,경기덕양 효자동 123-9,2종 보통,무,현대해상,8,98,93,99,C,
26_292,경기덕양대리점,강지수,010-8719-9839,751122,경기덕양 강남대로 100,1종 대형,무,KB손해,10,96,96,96,A,
26_293,경기덕양대리점,송지아,010-5367-1100,681169,경기덕양 강남대로 100,1종 대형,무,현대해상,3,97,93,99,B,
26_294,경기덕양대리점,한서아,010-1197-9772,771012,경기덕양 강남대로 100,1종 대형,무,현대해상,0,97,90,96,A,
26_295,경기덕양대리점,한서아,010-2802-9512,721031,경기덕양 강남대로 100,2종 보통,무,KB손해,6,90,97,97,A,
26_296,경기덕양대리점,이서준,010-2911-5218,871183,경기덕양 중앙9길 13,1종 대형,무,KB손해,5,96,94,94,A,
26_297,경기덕양대리점,장병국,010-6727-4667,791003,경기덕양 효자동 123-9,2종 보통,무,DB손해,5,98,98,96,A,
26_298,경기덕양대리점,박도현,010-3392-6576,501230,경기덕양 강남대로 100,1종 대형,무,DB손해,10,96,96,98,A,
26_299,경기덕양대리점,한서아,010-5704-3742,941199,경기덕양 효자동 123-9,1종 보통,무,KB손해,8,94,95,91,C,
26_300,경기덕양대리점,강지수,010-7692-2148,871015,경기덕양 효자동 123-9,1종 보통,무,현대해상,0,92,100,99,A,
26_301,인천대리점,김민준,010-1298-4524,921039,인천 강남대로 100,1종 보통,무,DB손해,0,92,96,90,C,
26_302,인천대리점,최이안,010-2228-5243,781046,인천 효자동 123-9,1종 보통,무,DB손해,5,97,94,91,B,
26_303,인천대리점,한서아,010-3390-1754,511204,인천 중앙9길 13,1종 보통,무,KB손해,1,90,97,98,B,
26_304,인천대리점,정하윤,010-2312-6692,681182,인천 강남대로 100,1종 보통,무,DB손해,3,96,90,96,B,
26_305,인천대리점,이서준,010-9742-5156,591107,인천 효자동 123-9,2종 보통,무,DB손해,8,98,99,100,B,
26_306,인천대리점,김민준,010-3445-3510,551146,인천 효자동 123-9,2종 보통,무,DB손해,9,93,99,91,C,
26_307,인천대리점,한서아,010-5303-9800,911208,인천 효자동 123-9,1종 대형,무,DB손해,5,90,92,96,C,
26_308,인천대리점,한서아,010-4531-9352,561167,인천 효자동 123-9,2종 보통,무,KB손해,6,95,98,100,C,
26_309,인천대리점,장성우,010-9860-5409,881224,인천 중앙9길 13,1종 대형,무,KB손해,3,93,97,92,B,
26_310,인천대리점,김민준,010-2041-5691,621199,인천 중앙9길 13,1종 보통,무,현대해상,10,95,97,94,C,
26_311,인천대리점,송지아,010-6115-7628,571152,인천 중앙9길 13,1종 보통,무,DB손해,4,100,98,96,C,
26_312,인천대리점,이서준,010-4217-1454,621188,인천 강남대로 100,1종 보통,무,KB손해,10,93,94,92,B,
26_313,인천대리점,장성우,010-1119-6189,781063,인천 중앙9길 13,1종 대형,무,KB손해,5,92,90,95,A,
26_314,인천대리점,장성우,010-4095-4830,651090,인천 중앙9길 13,1종 보통,무,DB손해,1,92,97,92,B,
26_315,인천대리점,강지수,010-3097-9650,631127,인천 중앙9길 13,1종 보통,무,KB손해,1,94,100,98,B,
26_316,인천대리점,정하윤,010-6454-1214,811153,인천 중앙9길 13,1종 대형,무,DB손해,10,91,92,95,C,
26_317,인천대리점,최이안,010-9404-1454,581123,인천 중앙9길 13,1종 보통,무,KB손해,0,93,95,90,B,
26_318,인천대리점,박도현,010-6897-5967,641217,인천 효자동 123-9,1종 보통,무,KB손해,4,93,96,93,A,
26_319,인천대리점,강지수,010-3946-4314,741197,인천 효자동 123-9,1종 보통,무,KB손해,9,92,98,96,A,
26_320,인천대리점,장병국,010-2014-3325,931134,인천 중앙9길 13,1종 대형,무,DB손해,0,91,90,92,A,
26_321,인천대리점,장병국,010-4786-1573,691034,인천 중앙9길 13,2종 보통,무,현대해상,9,94,100,90,C,
26_322,인천대리점,한서아,010-5881-4965,521159,인천 중앙9길 13,1종 대형,무,현대해상,9,98,97,91,C,
26_323,인천대리점,정하윤,010-2118-4438,581165,인천 효자동 123-9,1종 보통,무,KB손해,3,95,93,91,A,
26_324,인천대리점,정하윤,010-8078-5571,881084,인천 중앙9길 13,1종 대형,무,KB손해,0,96,94,100,C,
26_325,인천대리점,박도현,010-6007-8813,661065,인천 중앙9길 13,1종 보통,무,DB손해,6,94,91,97,C,
26_326,인천대리점,박도현,010-2182-5883,621173,인천 중앙9길 13,1종 보통,무,현대해상,10,98,94,90,B,
26_327,인천대리점,장성우,010-4811-5398,791066,인천 효자동 123-9,1종 보통,무,KB손해,10,97,97,98,C,
26_328,인천대리점,최이안,010-3411-6401,731161,인천 중앙9길 13,1종 보통,무,현대해상,0,98,90,94,B,
26_329,인천대리점,최이안,010-4822-4306,861095,인천 효자동 123-9,1종 보통,무,KB손해,0,99,96,98,B,
26_330,인천대리점,최이안,010-2375-8555,501028,인천 강남대로 100,1종 보통,무,현대해상,5,99,97,94,A,
26_331,인천대리점,한서아,010-2024-4639,871223,인천 강남대로 100,2종 보통,무,현대해상,2,98,96,90,C,
26_332,인천대리점,강지수,010-3620-8307,611132,인천 효자동 123-9,1종 보통,무,KB손해,6,95,91,98,B,
26_333,인천대리점,김민준,010-1975-8159,811182,인천 중앙9길 13,2종 보통,무,DB손해,0,100,97,99,A,
26_334,인천대리점,이서준,010-1976-2583,951092,인천 강남대로 100,1종 대형,무,KB손해,10,90,99,90,C,
26_335,인천대리점,이서준,010-5957-3932,761105,인천 효자동 123-9,2종 보통,무,현대해상,1,90,94,100,A,
26_336,인천대리점,박도현,010-6571-5428,961205,인천 강남대로 100,1종 대형,무,DB손해,9,98,97,93,C,
26_337,인천대리점,최이안,010-7158-7528,981118,인천 효자동 123-9,1종 보통,무,현대해상,2,97,91,93,C,
26_338,인천대리점,정하윤,010-7236-5171,731207,인천 강남대로 100,1종 보통,무,현대해상,10,94,90,96,C,
26_339,인천대리점,송지아,010-5269-4432,881023,인천 중앙9길 13,1종 대형,무,KB손해,4,90,94,99,A,
26_340,인천대리점,한서아,010-9584-2338,671029,인천 중앙9길 13,2종 보통,무,DB손해,5,91,95,95,A,
26_341,인천대리점,강지수,010-5076-6334,871015,인천 효자동 123-9,2종 보통,무,DB손해,3,98,100,94,C,
26_342,인천대리점,최이안,010-7575-1393,871131,인천 중앙9길 13,1종 대형,무,DB손해,3,96,93,90,B,
26_343,인천대리점,이서준,010-5187-1899,691047,인천 중앙9길 13,2종 보통,무,KB손해,0,93,93,97,A,
26_344,인천대리점,강지수,010-3199-1484,931157,인천 강남대로 100,1종 보통,무,DB손해,1,95,98,92,C,
26_345,인천대리점,강지수,010-7873-2759,691115,인천 강남대로 100,2종 보통,무,현대해상,7,99,94,92,C,
26_346,인천대리점,김민준,010-8379-1586,731194,인천 효자동 123-9,2종 보통,무,KB손해,3,95,100,96,A,
26_347,인천대리점,한서아,010-8132-8028,701197,인천 효자동 123-9,1종 보통,무,현대해상,9,90,91,97,C,
26_348,인천대리점,김민준,010-1302-3858,671130,인천 강남대로 100,2종 보통,무,KB손해,3,98,96,92,A,
26_349,인천대리점,김민준,010-1777-8663,731226,인천 중앙9길 13,2종 보통,무,DB손해,0,98,96,96,C,
26_350,인천대리점,장병국,010-6104-3897,621073,인천 중앙9길 13,2종 보통,무,KB손해,1,93,96,90,B,
26_351,인천대리점,이서준,010-6776-7177,891126,인천 강남대로 100,2종 보통,무,DB손해,0,91,92,94,C,
26_352,인천대리점,최이안,010-8910-5526,931058,인천 중앙9길 13,1종 보통,무,DB손해,5,99,91,95,B,
26_353,인천대리점,장성우,010-7058-2714,791006,인천 중앙9길 13,2종 보통,무,DB손해,7,90,96,98,C,
26_354,인천대리점,이서준,010-7900-6142,731219,인천 중앙9길 13,2종 보통,무,DB손해,2,91,98,99,A,
26_355,인천대리점,정하윤,010-9923-6754,531104,인천 효자동 123-9,2종 보통,무,DB손해,10,96,97,98,A,
26_356,인천대리점,이서준,010-2847-2369,821002,인천 강남대로 100,1종 대형,무,현대해상,0,90,99,91,B,
26_357,인천대리점,박도현,010-4302-2486,681216,인천 강남대로 100,2종 보통,무,DB손해,4,98,98,98,C,
26_358,인천대리점,한서아,010-5319-1331,671065,인천 강남대로 100,1종 보통,무,DB손해,6,91,99,94,C,
26_359,인천대리점,한서아,010-4747-7081,841059,인천 중앙9길 13,1종 대형,무,DB손해,5,100,97,91,C,
26_360,인천대리점,송지아,010-4622-3038,881025,인천 효자동 123-9,2종 보통,무,현대해상,1,90,98,95,A,
26_361,인천대리점,박도현,010-1900-4346,991047,인천 중앙9길 13,1종 보통,무,KB손해,4,96,96,95,C,
26_362,인천대리점,강지수,010-6212-2258,511212,인천 효자동 123-9,2종 보통,무,현대해상,9,100,100,91,C,
26_363,인천대리점,장병국,010-3468-6523,511072,인천 강남대로 100,1종 보통,무,DB손해,5,93,95,97,B,
26_364,인천대리점,정하윤,010-5972-9030,901168,인천 효자동 123-9,1종 대형,무,현대해상,7,96,98,100,A,
26_365,인천대리점,이서준,010-9267-8191,591049,인천 강남대로 100,1종 보통,무,DB손해,10,95,96,98,B,
26_366,인천대리점,박도현,010-2078-6647,531013,인천 중앙9길 13,2종 보통,무,KB손해,8,92,93,99,C,
26_367,인천대리점,박도현,010-6585-5819,601064,인천 중앙9길 13,1종 보통,무,DB손해,10,91,95,92,B,
26_368,인천대리점,김민준,010-4503-3353,931139,인천 강남대로 100,1종 보통,무,KB손해,5,95,94,93,A,
26_369,인천대리점,이서준,010-8482-8247,511038,인천 강남대로 100,1종 보통,무,현대해상,4,92,95,96,C,
26_370,인천대리점,한서아,010-1103-9929,961165,인천 강남대로 100,1종 보통,무,DB손해,6,99,96,98,A,
26_371,인천대리점,박도현,010-7351-9291,571042,인천 중앙9길 13,1종 대형,무,KB손해,1,93,90,95,B,
26_372,인천대리점,최이안,010-7265-6570,571066,인천 효자동 123-9,1종 대형,무,DB손해,4,91,91,92,A,
26_373,인천대리점,박도현,010-2524-8316,781004,인천 중앙9길 13,1종 대형,무,DB손해,0,94,93,92,C,
26_374,인천대리점,정하윤,010-8734-4239,931021,인천 중앙9길 13,2종 보통,무,KB손해,1,92,99,98,C,
26_375,인천대리점,이서준,010-8987-4849,871007,인천 강남대로 100,2종 보통,무,현대해상,6,96,90,93,B,
26_376,인천대리점,이서준,010-8058-6302,561206,인천 강남대로 100,2종 보통,무,현대해상,0,98,91,95,C,
26_377,인천대리점,이서준,010-1823-8902,731058,인천 효자동 123-9,1종 보통,무,KB손해,9,96,93,98,A,
26_378,인천대리점,김민준,010-5936-7533,691074,인천 중앙9길 13,1종 보통,무,현대해상,0,98,91,96,B,
26_379,인천대리점,이서준,010-5714-3891,611117,인천 중앙9길 13,1종 대형,무,DB손해,0,91,97,95,A,
26_380,인천대리점,한서아,010-8305-4074,701013,인천 중앙9길 13,1종 대형,무,현대해상,8,97,95,94,B,
26_381,인천대리점,강지수,010-8615-3140,801138,인천 효자동 123-9,2종 보통,무,KB손해,9,96,90,95,C,
26_382,인천대리점,송지아,010-7574-6638,631115,인천 효자동 123-9,1종 보통,무,KB손해,2,90,91,95,A,
26_383,인천대리점,장병국,010-1459-8481,971015,인천 효자동 123-9,1종 보통,무,현대해상,0,90,93,92,A,
26_384,인천대리점,정하윤,010-5404-7171,911217,인천 중앙9길 13,2종 보통,무,현대해상,2,95,99,94,A,
26_385,인천대리점,김민준,010-1792-1640,901033,인천 강남대로 100,1종 대형,무,DB손해,9,98,92,98,C,
26_386,인천대리점,장병국,010-5890-7167,671096,인천 효자동 123-9,1종 보통,무,KB손해,1,90,95,92,C,
26_387,인천대리점,정하윤,010-1310-8696,991080,인천 효자동 123-9,1종 보통,무,KB손해,6,94,94,100,B,
26_388,인천대리점,장성우,010-9724-1268,861044,인천 효자동 123-9,1종 대형,무,현대해상,7,99,96,92,A,
26_389,인천대리점,김민준,010-5699-4563,811047,인천 강남대로 100,2종 보통,무,KB손해,7,93,99,92,B,
26_390,인천대리점,박도현,010-4244-1309,691194,인천 중앙9길 13,2종 보통,무,현대해상,8,99,96,91,B,
26_391,인천대리점,박도현,010-3578-7696,931066,인천 강남대로 100,1종 보통,무,현대해상,3,96,92,96,A,
26_392,인천대리점,박도현,010-7502-9162,621129,인천 강남대로 100,1종 대형,무,현대해상,4,99,94,95,C,
26_393,인천대리점,강지수,010-9106-9182,961168,인천 강남대로 100,1종 대형,무,DB손해,3,93,91,92,A,
26_394,인천대리점,최이안,010-5635-6478,941037,인천 중앙9길 13,2종 보통,무,현대해상,3,93,91,95,C,
26_395,인천대리점,장병국,010-1492-1532,821222,인천 중앙9길 13,1종 보통,무,KB손해,7,96,95,94,A,
26_396,인천대리점,송지아,010-5594-6956,621226,인천 강남대로 100,1종 대형,무,DB손해,9,100,95,96,B,
26_397,인천대리점,한서아,010-9307-4503,721136,인천 효자동 123-9,2종 보통,무,현대해상,5,98,95,97,A,
26_398,인천대리점,장성우,010-3910-9610,601039,인천 강남대로 100,2종 보통,무,KB손해,1,90,97,90,A,
26_399,인천대리점,박도현,010-7079-4994,831163,인천 강남대로 100,1종 대형,무,현대해상,8,99,96,90,B,
26_400,인천대리점,박도현,010-6889-5779,581014,인천 효자동 123-9,2종 보통,무,현대해상,10,100,92,93,C,
26_401,부산대리점,장성우,010-3372-7638,791103,부산 강남대로 100,1종 보통,무,DB손해,6,91,97,97,A,
26_402,부산대리점,장성우,010-6193-1970,621217,부산 강남대로 100,1종 대형,무,KB손해,1,95,92,99,C,
26_403,부산대리점,김민준,010-6945-3237,501228,부산 효자동 123-9,2종 보통,무,현대해상,1,90,96,90,B,
26_404,부산대리점,강지수,010-5410-8504,621103,부산 효자동 123-9,2종 보통,무,DB손해,6,93,98,94,B,
26_405,부산대리점,송지아,010-5283-5712,741137,부산 강남대로 100,1종 대형,무,현대해상,10,92,96,90,B,
26_406,부산대리점,박도현,010-1462-4033,651078,부산 중앙9길 13,1종 대형,무,DB손해,8,99,92,96,A,
26_407,부산대리점,박도현,010-3372-7854,901121,부산 강남대로 100,1종 보통,무,DB손해,5,90,95,95,B,
26_408,부산대리점,이서준,010-9750-6123,561094,부산 강남대로 100,2종 보통,무,KB손해,7,96,99,100,A,
26_409,부산대리점,강지수,010-6825-6161,561142,부산 효자동 123-9,1종 대형,무,KB손해,10,95,91,91,C,
26_410,부산대리점,한서아,010-7306-1560,521168,부산 중앙9길 13,1종 대형,무,현대해상,9,90,94,96,C,
26_411,부산대리점,장성우,010-7888-3700,811076,부산 중앙9길 13,2종 보통,무,현대해상,6,97,99,92,A,
26_412,부산대리점,김민준,010-1489-1798,871049,부산 강남대로 100,1종 보통,무,현대해상,1,92,91,90,A,
26_413,부산대리점,김민준,010-5479-5688,531102,부산 효자동 123-9,2종 보통,무,KB손해,5,96,98,98,A,
26_414,부산대리점,박도현,010-7181-1105,951198,부산 강남대로 100,1종 대형,무,DB손해,3,100,98,100,A,
26_415,부산대리점,이서준,010-3162-4536,791016,부산 효자동 123-9,2종 보통,무,DB손해,5,90,95,92,A,
26_416,부산대리점,박도현,010-4133-9361,761134,부산 강남대로 100,1종 대형,무,KB손해,3,98,91,92,C,
26_417,부산대리점,최이안,010-4454-9486,561009,부산 효자동 123-9,1종 보통,무,DB손해,8,91,99,91,B,
26_418,부산대리점,정하윤,010-1566-5486,781223,부산 효자동 123-9,1종 대형,무,현대해상,1,96,99,98,A,
26_419,부산대리점,김민준,010-5316-7718,871083,부산 강남대로 100,1종 보통,무,DB손해,9,90,94,100,C,
26_420,부산대리점,장성우,010-9685-7124,551177,부산 중앙9길 13,2종 보통,무,KB손해,10,100,99,96,A,
26_421,부산대리점,장성우,010-5676-8716,911150,부산 중앙9길 13,1종 보통,무,KB손해,1,98,98,96,B,
26_422,부산대리점,한서아,010-9852-7554,851142,부산 효자동 123-9,2종 보통,무,DB손해,1,90,91,93,B,
26_423,부산대리점,정하윤,010-7096-9531,611048,부산 중앙9길 13,1종 보통,무,KB손해,8,92,93,98,C,
26_424,부산대리점,최이안,010-2865-1020,751222,부산 중앙9길 13,1종 대형,무,KB손해,5,93,97,96,B,
26_425,부산대리점,장성우,010-8612-3855,971135,부산 강남대로 100,1종 보통,무,KB손해,8,96,97,91,C,
26_426,부산대리점,한서아,010-4924-2774,941125,부산 강남대로 100,1종 보통,무,KB손해,7,90,99,98,B,
26_427,부산대리점,장성우,010-1459-1317,851170,부산 효자동 123-9,1종 대형,무,현대해상,10,90,91,92,A,
26_428,부산대리점,정하윤,010-6376-1525,981048,부산 중앙9길 13,1종 대형,무,KB손해,3,90,95,91,B,
26_429,부산대리점,장성우,010-8901-7863,841156,부산 효자동 123-9,1종 대형,무,현대해상,1,96,100,94,B,
26_430,부산대리점,최이안,010-2142-5641,821216,부산 효자동 123-9,2종 보통,무,현대해상,10,95,99,96,B,
26_431,부산대리점,장성우,010-6708-7702,931200,부산 효자동 123-9,1종 대형,무,현대해상,4,99,95,90,A,
26_432,부산대리점,강지수,010-2336-4425,511089,부산 효자동 123-9,1종 보통,무,KB손해,4,90,92,97,B,
26_433,부산대리점,박도현,010-1353-5144,731219,부산 중앙9길 13,1종 대형,무,현대해상,5,93,99,96,A,
26_434,부산대리점,장성우,010-4349-6428,541187,부산 강남대로 100,1종 보통,무,DB손해,4,95,97,99,A,
26_435,부산대리점,한서아,010-3347-7466,931191,부산 중앙9길 13,2종 보통,무,DB손해,2,91,94,99,C,
26_436,부산대리점,김민준,010-7037-1299,571058,부산 효자동 123-9,1종 보통,무,현대해상,1,93,95,91,C,
26_437,부산대리점,강지수,010-8050-4708,851220,부산 중앙9길 13,1종 보통,무,KB손해,2,96,97,98,B,
26_438,부산대리점,이서준,010-3199-4609,771030,부산 강남대로 100,1종 보통,무,현대해상,3,90,93,95,C,
26_439,부산대리점,정하윤,010-9449-2776,911213,부산 중앙9길 13,2종 보통,무,KB손해,4,99,98,97,A,
26_440,부산대리점,최이안,010-7137-5435,621035,부산 효자동 123-9,1종 대형,무,DB손해,1,97,92,93,A,
